Date,Sales
2018-01-01,10
2018-01-02,14
2018-01-03,31
2018-01-04,7
2018-01-05,0
2018-01-06,33
2018-01-07,27
2018-01-08,23
2018-01-09,20
2018-01-10,8
2018-01-11,10
2018-01-12,12
2018-01-13,42
2018-01-14,20
2018-01-15,13
2018-01-16,22
2018-01-17,31
2018-01-18,22
2018-01-19,25
2018-01-20,20
2018-01-21,22
2018-01-22,2
2018-01-23,19
2018-01-24,17
2018-01-25,33
2018-01-26,29
2018-01-27,28
2018-01-28,12
2018-01-29,20
2018-01-30,25
2018-01-31,19
2018-02-01,8
2018-02-02,12
2018-02-03,31
2018-02-04,23
2018-02-05,9
2018-02-06,32
2018-02-07,25
2018-02-08,20
2018-02-09,25
2018-02-10,39
2018-02-11,16
2018-02-12,31
2018-02-13,29
2018-02-14,28
2018-02-15,20
2018-02-16,10
2018-02-17,1
2018-02-18,3
2018-02-19,16
2018-02-20,20
2018-02-21,27
2018-02-22,29
2018-02-23,24
2018-02-24,2
2018-02-25,19
2018-02-26,28
2018-02-27,13
2018-02-28,0
2018-03-01,13
2018-03-02,33
2018-03-03,36
2018-03-04,38
2018-03-05,19
2018-03-06,13
2018-03-07,44
2018-03-08,34
2018-03-09,15
2018-03-10,19
2018-03-11,16
2018-03-12,37
2018-03-13,20
2018-03-14,32
2018-03-15,19
2018-03-16,36
2018-03-17,31
2018-03-18,25
2018-03-19,40
2018-03-20,15
2018-03-21,16
2018-03-22,18
2018-03-23,5
2018-03-24,27
2018-03-25,17
2018-03-26,14
2018-03-27,15
2018-03-28,29
2018-03-29,24
2018-03-30,18
2018-03-31,3
2018-04-01,8
2018-04-02,24
2018-04-03,20
2018-04-04,23
2018-04-05,7
2018-04-06,9
2018-04-07,24
2018-04-08,36
2018-04-09,30
2018-04-10,14
2018-04-11,3
2018-04-12,41
2018-04-13,26
2018-04-14,35
2018-04-15,4
2018-04-16,17
2018-04-17,32
2018-04-18,17
2018-04-19,21
2018-04-20,9
2018-04-21,15
2018-04-22,25
2018-04-23,9
2018-04-24,27
2018-04-25,6
2018-04-26,16
2018-04-27,18
2018-04-28,9
2018-04-29,26
2018-04-30,9
2018-05-01,7
2018-05-02,25
2018-05-03,24
2018-05-04,38
2018-05-05,8
2018-05-06,14
2018-05-07,46
2018-05-08,11
2018-05-09,33
2018-05-10,18
2018-05-11,10
2018-05-12,19
2018-05-13,17
2018-05-14,3
2018-05-15,7
2018-05-16,7
2018-05-17,34
2018-05-18,8
2018-05-19,22
2018-05-20,34
2018-05-21,18
2018-05-22,34
2018-05-23,13
2018-05-24,12
2018-05-25,8
2018-05-26,11
2018-05-27,6
2018-05-28,22
2018-05-29,11
2018-05-30,27
2018-05-31,28
2018-06-01,23
2018-06-02,17
2018-06-03,16
2018-06-04,14
2018-06-05,20
2018-06-06,8
2018-06-07,15
2018-06-08,15
2018-06-09,25
2018-06-10,37
2018-06-11,34
2018-06-12,2
2018-06-13,39
2018-06-14,21
2018-06-15,9
2018-06-16,19
2018-06-17,13
2018-06-18,14
2018-06-19,23
2018-06-20,37
2018-06-21,21
2018-06-22,25
2018-06-23,21
2018-06-24,27
2018-06-25,14
2018-06-26,8
2018-06-27,19
2018-06-28,17
2018-06-29,8
2018-06-30,9
2018-07-01,12
2018-07-02,28
2018-07-03,19
2018-07-04,18
2018-07-05,15
2018-07-06,32
2018-07-07,6
2018-07-08,8
2018-07-09,31
2018-07-10,16
2018-07-11,19
2018-07-12,7
2018-07-13,11
2018-07-14,30
2018-07-15,20
2018-07-16,18
2018-07-17,27
2018-07-18,12
2018-07-19,24
2018-07-20,25
2018-07-21,14
2018-07-22,27
2018-07-23,30
2018-07-24,4
2018-07-25,6
2018-07-26,27
2018-07-27,26
2018-07-28,12
2018-07-29,8
2018-07-30,4
2018-07-31,11
2018-08-01,8
2018-08-02,19
2018-08-03,28
2018-08-04,24
2018-08-05,19
2018-08-06,16
2018-08-07,20
2018-08-08,9
2018-08-09,5
2018-08-10,20
2018-08-11,33
2018-08-12,15
2018-08-13,25
2018-08-14,4
2018-08-15,8
2018-08-16,31
2018-08-17,27
2018-08-18,11
2018-08-19,18
2018-08-20,22
2018-08-21,22
2018-08-22,21
2018-08-23,10
2018-08-24,31
2018-08-25,30
2018-08-26,28
2018-08-27,23
2018-08-28,23
2018-08-29,17
2018-08-30,28
2018-08-31,31
2018-09-01,9
2018-09-02,15
2018-09-03,17
2018-09-04,20
2018-09-05,14
2018-09-06,39
2018-09-07,12
2018-09-08,21
2018-09-09,19
2018-09-10,9
2018-09-11,34
2018-09-12,14
2018-09-13,36
2018-09-14,17
2018-09-15,17
2018-09-16,27
2018-09-17,19
2018-09-18,34
2018-09-19,23
2018-09-20,17
2018-09-21,13
2018-09-22,23
2018-09-23,14
2018-09-24,6
2018-09-25,24
2018-09-26,21
2018-09-27,41
2018-09-28,19
2018-09-29,16
2018-09-30,13
2018-10-01,29
2018-10-02,25
2018-10-03,0
2018-10-04,0
2018-10-05,6
2018-10-06,35
2018-10-07,35
2018-10-08,7
2018-10-09,22
2018-10-10,22
2018-10-11,19
2018-10-12,9
2018-10-13,25
2018-10-14,23
2018-10-15,10
2018-10-16,10
2018-10-17,22
2018-10-18,16
2018-10-19,31
2018-10-20,14
2018-10-21,15
2018-10-22,18
2018-10-23,12
2018-10-24,10
2018-10-25,29
2018-10-26,10
2018-10-27,23
2018-10-28,4
2018-10-29,14
2018-10-30,28
2018-10-31,23
2018-11-01,13
2018-11-02,29
2018-11-03,27
2018-11-04,20
2018-11-05,17
2018-11-06,24
2018-11-07,16
2018-11-08,21
2018-11-09,0
2018-11-10,28
2018-11-11,22
2018-11-12,25
2018-11-13,7
2018-11-14,1
2018-11-15,19
2018-11-16,17
2018-11-17,30
2018-11-18,19
2018-11-19,12
2018-11-20,34
2018-11-21,12
2018-11-22,33
2018-11-23,42
2018-11-24,11
2018-11-25,14
2018-11-26,17
2018-11-27,32
2018-11-28,20
2018-11-29,25
2018-11-30,22
2018-12-01,17
2018-12-02,18
2018-12-03,31
2018-12-04,6
2018-12-05,19
2018-12-06,44
2018-12-07,24
2018-12-08,14
2018-12-09,11
2018-12-10,19
2018-12-11,5
2018-12-12,56
2018-12-13,16
2018-12-14,27
2018-12-15,19
2018-12-16,23
2018-12-17,18
2018-12-18,16
2018-12-19,18
2018-12-20,1
2018-12-21,21
2018-12-22,21
2018-12-23,16
2018-12-24,25
2018-12-25,18
2018-12-26,22
2018-12-27,26
2018-12-28,7
2018-12-29,32
2018-12-30,34
2018-12-31,18
2019-01-01,27
2019-01-02,52
2019-01-03,29
2019-01-04,15
2019-01-05,27
2019-01-06,15
2019-01-07,11
2019-01-08,20
2019-01-09,47
2019-01-10,38
2019-01-11,18
2019-01-12,24
2019-01-13,23
2019-01-14,40
2019-01-15,1
2019-01-16,49
2019-01-17,11
2019-01-18,39
2019-01-19,16
2019-01-20,20
2019-01-21,24
2019-01-22,33
2019-01-23,24
2019-01-24,20
2019-01-25,19
2019-01-26,34
2019-01-27,17
2019-01-28,12
2019-01-29,10
2019-01-30,21
2019-01-31,5
2019-02-01,16
2019-02-02,21
2019-02-03,16
2019-02-04,18
2019-02-05,22
2019-02-06,32
2019-02-07,25
2019-02-08,29
2019-02-09,19
2019-02-10,13
2019-02-11,11
2019-02-12,18
2019-02-13,32
2019-02-14,31
2019-02-15,8
2019-02-16,20
2019-02-17,17
2019-02-18,22
2019-02-19,12
2019-02-20,17
2019-02-21,11
2019-02-22,17
2019-02-23,25
2019-02-24,19
2019-02-25,36
2019-02-26,13
2019-02-27,1
2019-02-28,27
2019-03-01,5
2019-03-02,24
2019-03-03,17
2019-03-04,13
2019-03-05,10
2019-03-06,21
2019-03-07,17
2019-03-08,4
2019-03-09,2
2019-03-10,30
2019-03-11,28
2019-03-12,10
2019-03-13,22
2019-03-14,8
2019-03-15,21
2019-03-16,7
2019-03-17,2
2019-03-18,38
2019-03-19,5
2019-03-20,6
2019-03-21,11
2019-03-22,22
2019-03-23,29
2019-03-24,14
2019-03-25,28
2019-03-26,23
2019-03-27,14
2019-03-28,21
2019-03-29,25
2019-03-30,22
2019-03-31,23
2019-04-01,20
2019-04-02,34
2019-04-03,12
2019-04-04,11
2019-04-05,7
2019-04-06,5
2019-04-07,43
2019-04-08,18
2019-04-09,34
2019-04-10,25
2019-04-11,4
2019-04-12,25
2019-04-13,24
2019-04-14,10
2019-04-15,29
2019-04-16,44
2019-04-17,22
2019-04-18,2
2019-04-19,22
2019-04-20,32
2019-04-21,16
2019-04-22,14
2019-04-23,20
2019-04-24,10
2019-04-25,13
2019-04-26,15
2019-04-27,23
2019-04-28,31
2019-04-29,11
2019-04-30,38
2019-05-01,6
2019-05-02,38
2019-05-03,27
2019-05-04,9
2019-05-05,18
2019-05-06,23
2019-05-07,28
2019-05-08,31
2019-05-09,21
2019-05-10,22
2019-05-11,8
2019-05-12,36
2019-05-13,20
2019-05-14,19
2019-05-15,5
2019-05-16,33
2019-05-17,16
2019-05-18,24
2019-05-19,18
2019-05-20,10
2019-05-21,16
2019-05-22,20
2019-05-23,27
2019-05-24,35
2019-05-25,23
2019-05-26,19
2019-05-27,36
2019-05-28,3
2019-05-29,16
2019-05-30,14
2019-05-31,5
2019-06-01,23
2019-06-02,35
2019-06-03,39
2019-06-04,2
2019-06-05,1
2019-06-06,17
2019-06-07,9
2019-06-08,3
2019-06-09,16
2019-06-10,19
2019-06-11,32
2019-06-12,18
2019-06-13,33
2019-06-14,26
2019-06-15,26
2019-06-16,30
2019-06-17,10
2019-06-18,28
2019-06-19,13
2019-06-20,22
2019-06-21,28
2019-06-22,8
2019-06-23,20
2019-06-24,3
2019-06-25,20
2019-06-26,0
2019-06-27,13
2019-06-28,5
2019-06-29,17
2019-06-30,10
2019-07-01,17
2019-07-02,7
2019-07-03,20
2019-07-04,23
2019-07-05,16
2019-07-06,21
2019-07-07,18
2019-07-08,2
2019-07-09,28
2019-07-10,38
2019-07-11,28
2019-07-12,12
2019-07-13,6
2019-07-14,6
2019-07-15,1
2019-07-16,11
2019-07-17,40
2019-07-18,21
2019-07-19,14
2019-07-20,29
2019-07-21,4
2019-07-22,15
2019-07-23,27
2019-07-24,16
2019-07-25,17
2019-07-26,16
2019-07-27,10
2019-07-28,23
2019-07-29,26
2019-07-30,8
2019-07-31,28
2019-08-01,16
2019-08-02,21
2019-08-03,18
2019-08-04,23
2019-08-05,24
2019-08-06,15
2019-08-07,20
2019-08-08,14
2019-08-09,4
2019-08-10,23
2019-08-11,11
2019-08-12,19
2019-08-13,19
2019-08-14,20
2019-08-15,29
2019-08-16,5
2019-08-17,24
2019-08-18,3
2019-08-19,18
2019-08-20,8
2019-08-21,22
2019-08-22,31
2019-08-23,38
2019-08-24,24
2019-08-25,15
2019-08-26,34
2019-08-27,29
2019-08-28,24
2019-08-29,30
2019-08-30,20
2019-08-31,14
2019-09-01,13
2019-09-02,32
2019-09-03,29
2019-09-04,23
2019-09-05,16
2019-09-06,17
2019-09-07,24
2019-09-08,4
2019-09-09,36
2019-09-10,28
2019-09-11,2
2019-09-12,37
2019-09-13,11
2019-09-14,23
2019-09-15,19
2019-09-16,5
2019-09-17,26
2019-09-18,10
2019-09-19,2
2019-09-20,13
2019-09-21,31
2019-09-22,34
2019-09-23,19
2019-09-24,20
2019-09-25,24
2019-09-26,12
2019-09-27,11
2019-09-28,29
2019-09-29,11
2019-09-30,33
2019-10-01,25
2019-10-02,5
2019-10-03,15
2019-10-04,26
2019-10-05,10
2019-10-06,22
2019-10-07,23
2019-10-08,22
2019-10-09,31
2019-10-10,24
2019-10-11,15
2019-10-12,22
2019-10-13,17
2019-10-14,19
2019-10-15,31
2019-10-16,26
2019-10-17,40
2019-10-18,17
2019-10-19,5
2019-10-20,25
2019-10-21,16
2019-10-22,20
2019-10-23,31
2019-10-24,13
2019-10-25,38
2019-10-26,17
2019-10-27,29
2019-10-28,27
2019-10-29,17
2019-10-30,23
2019-10-31,16
2019-11-01,14
2019-11-02,16
2019-11-03,39
2019-11-04,20
2019-11-05,13
2019-11-06,12
2019-11-07,22
2019-11-08,27
2019-11-09,6
2019-11-10,32
2019-11-11,0
2019-11-12,22
2019-11-13,24
2019-11-14,24
2019-11-15,31
2019-11-16,3
2019-11-17,35
2019-11-18,12
2019-11-19,18
2019-11-20,19
2019-11-21,13
2019-11-22,21
2019-11-23,26
2019-11-24,31
2019-11-25,25
2019-11-26,27
2019-11-27,13
2019-11-28,18
2019-11-29,33
2019-11-30,41
2019-12-01,32
2019-12-02,28
2019-12-03,33
2019-12-04,27
2019-12-05,22
2019-12-06,16
2019-12-07,33
2019-12-08,34
2019-12-09,19
2019-12-10,8
2019-12-11,35
2019-12-12,1
2019-12-13,14
2019-12-14,4
2019-12-15,37
2019-12-16,16
2019-12-17,5
2019-12-18,24
2019-12-19,22
2019-12-20,15
2019-12-21,9
2019-12-22,28
2019-12-23,21
2019-12-24,21
2019-12-25,14
2019-12-26,9
2019-12-27,22
2019-12-28,12
2019-12-29,28
2019-12-30,25
2019-12-31,9
2020-01-01,17
2020-01-02,22
2020-01-03,28
2020-01-04,38
2020-01-05,27
2020-01-06,26
2020-01-07,13
2020-01-08,14
2020-01-09,16
2020-01-10,12
2020-01-11,30
2020-01-12,22
2020-01-13,20
2020-01-14,19
2020-01-15,32
2020-01-16,21
2020-01-17,3
2020-01-18,14
2020-01-19,15
2020-01-20,18
2020-01-21,21
2020-01-22,26
2020-01-23,7
2020-01-24,24
2020-01-25,28
2020-01-26,26
2020-01-27,27
2020-01-28,29
2020-01-29,11
2020-01-30,31
2020-01-31,38
2020-02-01,27
2020-02-02,1
2020-02-03,30
2020-02-04,1
2020-02-05,15
2020-02-06,13
2020-02-07,19
2020-02-08,16
2020-02-09,21
2020-02-10,4
2020-02-11,19
2020-02-12,10
2020-02-13,17
2020-02-14,18
2020-02-15,21
2020-02-16,19
2020-02-17,17
2020-02-18,22
2020-02-19,37
2020-02-20,26
2020-02-21,27
2020-02-22,8
2020-02-23,9
2020-02-24,16
2020-02-25,27
2020-02-26,11
2020-02-27,14
2020-02-28,22
2020-02-29,15
2020-03-01,9
2020-03-02,6
2020-03-03,0
2020-03-04,27
2020-03-05,17
2020-03-06,38
2020-03-07,10
2020-03-08,35
2020-03-09,37
2020-03-10,12
2020-03-11,25
2020-03-12,24
2020-03-13,12
2020-03-14,8
2020-03-15,14
2020-03-16,28
2020-03-17,12
2020-03-18,26
2020-03-19,11
2020-03-20,8
2020-03-21,28
2020-03-22,3
2020-03-23,14
2020-03-24,15
2020-03-25,5
2020-03-26,32
2020-03-27,1
2020-03-28,7
2020-03-29,32
2020-03-30,34
2020-03-31,42
2020-04-01,8
2020-04-02,16
2020-04-03,29
2020-04-04,20
2020-04-05,28
2020-04-06,39
2020-04-07,20
2020-04-08,20
2020-04-09,13
2020-04-10,16
2020-04-11,19
2020-04-12,16
2020-04-13,32
2020-04-14,5
2020-04-15,28
2020-04-16,32
2020-04-17,20
2020-04-18,18
2020-04-19,8
2020-04-20,12
2020-04-21,31
2020-04-22,21
2020-04-23,8
2020-04-24,36
2020-04-25,28
2020-04-26,13
2020-04-27,18
2020-04-28,15
2020-04-29,43
2020-04-30,21
2020-05-01,32
2020-05-02,4
2020-05-03,33
2020-05-04,34
2020-05-05,13
2020-05-06,22
2020-05-07,15
2020-05-08,28
2020-05-09,8
2020-05-10,4
2020-05-11,26
2020-05-12,15
2020-05-13,4
2020-05-14,3
2020-05-15,35
2020-05-16,15
2020-05-17,14
2020-05-18,23
2020-05-19,16
2020-05-20,10
2020-05-21,19
2020-05-22,24
2020-05-23,28
2020-05-24,34
2020-05-25,23
2020-05-26,0
2020-05-27,35
2020-05-28,19
2020-05-29,26
2020-05-30,12
2020-05-31,30
2020-06-01,29
2020-06-02,34
2020-06-03,3
2020-06-04,9
2020-06-05,9
2020-06-06,10
2020-06-07,0
2020-06-08,28
2020-06-09,22
2020-06-10,37
2020-06-11,2
2020-06-12,11
2020-06-13,18
2020-06-14,13
2020-06-15,27
2020-06-16,27
2020-06-17,35
2020-06-18,12
2020-06-19,17
2020-06-20,33
2020-06-21,43
2020-06-22,10
2020-06-23,11
2020-06-24,15
2020-06-25,34
2020-06-26,17
2020-06-27,17
2020-06-28,14
2020-06-29,22
2020-06-30,11
2020-07-01,29
2020-07-02,12
2020-07-03,18
2020-07-04,14
2020-07-05,35
2020-07-06,28
2020-07-07,22
2020-07-08,14
2020-07-09,25
2020-07-10,29
2020-07-11,0
2020-07-12,4
2020-07-13,10
2020-07-14,43
2020-07-15,21
2020-07-16,24
2020-07-17,13
2020-07-18,31
2020-07-19,18
2020-07-20,24
2020-07-21,14
2020-07-22,16
2020-07-23,13
2020-07-24,23
2020-07-25,24
2020-07-26,21
2020-07-27,32
2020-07-28,17
2020-07-29,28
2020-07-30,26
2020-07-31,28
2020-08-01,18
2020-08-02,19
2020-08-03,28
2020-08-04,22
2020-08-05,19
2020-08-06,10
2020-08-07,7
2020-08-08,30
2020-08-09,29
2020-08-10,11
2020-08-11,31
2020-08-12,21
2020-08-13,28
2020-08-14,15
2020-08-15,25
2020-08-16,17
2020-08-17,16
2020-08-18,3
2020-08-19,21
2020-08-20,16
2020-08-21,19
2020-08-22,17
2020-08-23,7
2020-08-24,9
2020-08-25,4
2020-08-26,21
2020-08-27,20
2020-08-28,36
2020-08-29,24
2020-08-30,25
2020-08-31,30
2020-09-01,15
2020-09-02,21
2020-09-03,3
2020-09-04,29
2020-09-05,32
2020-09-06,32
2020-09-07,6
2020-09-08,10
2020-09-09,18
2020-09-10,25
2020-09-11,19
2020-09-12,19
2020-09-13,21
2020-09-14,17
2020-09-15,19
2020-09-16,35
2020-09-17,15
2020-09-18,21
2020-09-19,28
2020-09-20,22
2020-09-21,1
2020-09-22,28
2020-09-23,20
2020-09-24,23
2020-09-25,20
2020-09-26,9
