Date,Sales
2018-01-31,1048
2018-02-28,949
2018-03-31,1546
2018-04-30,2896
2018-05-31,3883
2018-06-30,753
2018-07-31,1903
2018-08-31,1756
2018-09-30,4741
2018-10-31,3875
2018-11-30,4131
2018-12-31,2471
2019-01-31,1738
2019-02-28,2577
2019-03-31,2241
2019-04-30,1458
2019-05-31,4460
2019-06-30,4041
2019-07-31,3493
2019-08-31,1057
2019-09-30,1724
2019-10-31,4644
2019-11-30,1614
2019-12-31,3608
2020-01-31,3653
2020-02-29,3322
2020-03-31,607
2020-04-30,4275
2020-05-31,1709
2020-06-30,3389
2020-07-31,4467
2020-08-31,2801
2020-09-30,963
2020-10-31,2951
2020-11-30,4659
2020-12-31,2011
2021-01-31,1845
2021-02-28,3030
2021-03-31,3053
2021-04-30,2264
2021-05-31,2827
2021-06-30,4209
2021-07-31,1316
2021-08-31,808
2021-09-30,3160
2021-10-31,4001
2021-11-30,2299
2021-12-31,3861
2022-01-31,4689
2022-02-28,4776
2022-03-31,2319
2022-04-30,2563
2022-05-31,3184
2022-06-30,1154
2022-07-31,2520
2022-08-31,2730
2022-09-30,2448
2022-10-31,4416
2022-11-30,1418
2022-12-31,2716
