Date,Sales
2022-01-01,34
2022-01-02,13
2022-01-03,19
2022-01-04,11
2022-01-05,32
2022-01-06,31
2022-01-07,22
2022-01-08,23
2022-01-09,34
2022-01-10,52
2022-01-11,46
2022-01-12,35
2022-01-13,44
2022-01-14,55
2022-01-15,30
2022-01-16,42
2022-01-17,34
2022-01-18,43
2022-01-19,39
2022-01-20,20
2022-01-21,20
2022-01-22,19
2022-01-23,44
2022-01-24,24
2022-01-25,52
2022-01-26,48
2022-01-27,43
2022-01-28,26
2022-01-29,52
2022-01-30,34
2022-01-31,56
2022-02-01,39
2022-02-02,49
2022-02-03,40
2022-02-04,33
2022-02-05,47
2022-02-06,19
2022-02-07,19
2022-02-08,37
2022-02-09,56
2022-02-10,26
2022-02-11,55
2022-02-12,51
2022-02-13,19
2022-02-14,39
2022-02-15,27
2022-02-16,53
2022-02-17,52
2022-02-18,43
2022-02-19,32
2022-02-20,31
2022-02-21,47
2022-02-22,31
2022-02-23,32
2022-02-24,25
2022-02-25,45
2022-02-26,44
2022-02-27,25
2022-02-28,49
2022-03-01,41
2022-03-02,44
2022-03-03,12
2022-03-04,38
2022-03-05,45
2022-03-06,35
2022-03-07,18
2022-03-08,44
2022-03-09,34
2022-03-10,28
2022-03-11,45
2022-03-12,35
2022-03-13,37
2022-03-14,14
2022-03-15,38
2022-03-16,28
2022-03-17,15
2022-03-18,23
2022-03-19,13
2022-03-20,19
2022-03-21,14
2022-03-22,6
2022-03-23,21
2022-03-24,17
2022-03-25,35
2022-03-26,40
2022-03-27,2
2022-03-28,35
2022-03-29,1
2022-03-30,18
2022-03-31,2
2022-04-01,23
2022-04-02,35
2022-04-03,20
2022-04-04,17
2022-04-05,22
2022-04-06,28
2022-04-07,7
2022-04-08,33
2022-04-09,32
2022-04-10,28
2022-04-11,16
2022-04-12,27
2022-04-13,8
2022-04-14,20
2022-04-15,9
2022-04-16,25
2022-04-17,15
2022-04-18,14
2022-04-19,21
2022-04-20,38
2022-04-21,12
